Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Template Suffix,Metafield: custom.belongs_to [single_line_text_field]
12mm,Merge,12mm,"Find en ny 12mm rem i dag, eller få et ekstra, så du kan skifte imellem forskellige. En urrem kan give dit smartwatch et helt nyt look, og matche din egen personlige stil.",all conditions,Tag,Equals,12mm,12mm Urremme | Køb ny Urrem til 12mm Her,"Alle slags 12mm Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",,Universal
14mm,Merge,14mm,"Her kan du finde en ny 14mm urrem. Du er heldigvis landet på danmarks største udvalg af smartwatch remme, så du kan helt sikkert finde noget du kan bruge.",all conditions,Tag,Equals,14mm,14mm Remme | Kæmpe Udvalg,"Uremme der passer perfekt til 14mm. Vores lager er fyldt med flotte remme til ganske få kroner. Køber du for mere end 199kroner, betaler vi fragten.",,Universal
16mm,Merge,16mm,"Leder du efter en ny 16mm urrem? Så er du kommet til det rigtige sted! Vi har et hav af remme. Du finder <b>Danmarks største udvalg</b>, til at priser der er til at betale. Køb netop den rem, der passer perfekt ind til din livsstil. Husk at fylder du kurven for mere end 199KR, så betaler vi forsendelsen.",all conditions,Tag,Equals,16mm,16mm Urremme | Mægtigt Sortiment af Remme til 16mm,"Alle slags 16mm Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",,Universal
17mm,Merge,17mm,Gør dit 17mm ur mere personlig med et ny rem. Vi har et stort udvalg af alle slags urremme med perfekt pasform.,all conditions,Tag,Equals,17mm,"17mm Urremme | Hurtig & Fri Fragt over 199,-","Mangler du en ny 17mm urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Universal
18mm,Merge,18mm,Danmarks Bedste Udvalg af 18mm urremme. Den rem du leder efter finder du her på siden. Vi har i mange forskellige materialer og stilarter. Find den urrem du mangler i dag!,all conditions,Tag,Equals,18mm,18mm Urremme | Mægtigt Sortiment af Remme til 18mm,Ny 18mm rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,Universal
19mm,Merge,19mm,"Skal du bruge en ny 19mm urrem til enten træning eller hverdagen, så har vi heldigvis et hav af forskellige remme, som du kan vælge imellem.",all conditions,Tag,Equals,19mm,19mm Remme | Bedste Sortiment af Remme til 19mm,Stort udvalg af remme til 19mm. Danmarks Største udvalg af Smartwatch urremme. Vi sender inden kl. 15 i dag.,,Universal
20mm,Merge,20mm,Mangler du en elegant eller behagelig 20mm urrem? Så er du heldig at du er landet hos os! Hos urrem.dk finder du Danmarks Største Udvalg af 20mm remme.,all conditions,Tag,Equals,20mm,20mm Remme | Køb en Erstatningsrem til 20mm Her,"Mangler du en ny 20mm urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Universal
22mm,Merge,22mm,"Vi har altid den urrem, som du mangler til 22mm. Bestiller du får mere end 199kr, så <b>betaler vi fragten</b>. Så fyld kurven op! Går du til kassen inden kl. 15, så sender vi din ordre afsted samme dag.",all conditions,Tag,Equals,22mm,"22mm Remme | Hurtig & Fri Fragt over 199,-",Stort udvalg af remme til 22mm. Danmarks Største udvalg af Smartwatch urremme. Vi sender inden kl. 15 i dag.,,Universal
24mm,Merge,24mm,"Stort udvalg af 24mm urremme. Hvis din stil er sporty eller klassisk, så kan du med garanti finde en urrem, der passer netop dig. Bestil inden. kl. 15 og vi sender hjem til dig i dag.",all conditions,Tag,Equals,24mm,"24mm Urremme | Remme & Tilbehør - Fri Fragt over 199,-","Mangler du en ny 24mm urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,Universal
amazfit,Merge,Amazfit,"Find en ny Amazfit rem i dag, eller få et ekstra, så du kan skifte imellem forskellige. En urrem kan give dit smartwatch et helt nyt look, og matche din egen personlige stil.",all conditions,Tag,Equals,Amazfit,Amazfit Rem | Stort Udvalg,Ny Amazfit rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,
amazfit-1,Merge,Amazfit 1,"Skal du bruge en ny Amazfit 1 urrem til enten træning eller hverdagen, så har vi heldigvis et hav af forskellige remme, som du kan vælge imellem.",all conditions,Tag,Equals,Amazfit 1,"Amazfit 1 Urremme | Urremme & Tilbehør - Fri Levering over 199,-","Kæmpe Udvalg af Amazfit 1 Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,
amazfit-1s,Merge,Amazfit 1S,"Vil du gøre dit smartwatch mere personligt? Vi har et stort sortiment af alle slags Amazfit 1S urremme, du finder remmene i massevis af farver og materialer. Så kan du finde netop den urrem, som du går og leder efter.",all conditions,Tag,Equals,Amazfit 1S,Amazfit 1S Urremme | Stort Sortiment af Remme til Amazfit 1S,Lækre remme til Amazfit 1S. Kæmpe Udvalg. Hurtig Levering og FRI Fragt over 199kr.,,
amazfit-3,Merge,Amazfit 3,"Enormt udvalg af urremme til Amazfit 3 . Vi har helt sikkert en rem, som du kan bruge.",all conditions,Tag,Equals,Amazfit 3,Amazfit 3 Remme | Bedste Udvalg Remme til Amazfit 3,"Velkommen til et hav af Amazfit 3 Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,
amazfit-ares,Merge,Amazfit Ares,"Enormt udvalg af urremme til Amazfit Ares . Vi har helt sikkert en rem, som du kan bruge.",all conditions,Tag,Equals,Amazfit Ares,Amazfit Ares Remme | Køb ny rem til Amazfit Ares Her,Ny Amazfit Ares rem? Så er dette stedet for dig! Vi har det største udvalg i Danmark. Hurtig Levering.,,
amazfit-band-5,Merge,Amazfit Band 5,"Enormt udvalg af urremme til Amazfit Band 5 . Vi har helt sikkert en rem, som du kan bruge.",all conditions,Tag,Equals,Amazfit Band 5,"Amazfit Band 5 Remme | Remme & Tilbehør - Fri Fragt over 199,-","Mangler du en ny Amazfit Band 5 urrem? Her finder du et stort udvalg af alle slags remme. GRATIS fragt ved køb over 199,-",,
amazfit-bip,Merge,Amazfit Bip,"Vi har altid den urrem, som du mangler til Amazfit Bip. Bestiller du får mere end 199kr, så <b>betaler vi fragten</b>. Så fyld kurven op! Går du til kassen inden kl. 15, så sender vi din ordre afsted samme dag.",all conditions,Tag,Equals,Amazfit Bip,Amazfit Bip Remme | Stort Sortiment af Urremme til Amazfit Bip,"Alle slags Amazfit Bip Urremme. Danmarks Største Udvalg. Gratis Levering ved køb over 199,-",,Amazfit Bip Series
amazfit-bip-lite,Merge,Amazfit Bip Lite,"Har du brug for en Amazfit Bip Lite urrem, så er du landet på det helt rigtige sted. Vi har et kæmpe udvalg af remme i forskellige farver og materialer.",all conditions,Tag,Equals,Amazfit Bip Lite,Amazfit Bip Lite Remme | Kæmpestort Udvalg af Remme til Amazfit Bip Lite,"Kæmpe Udvalg af Amazfit Bip Lite Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,Amazfit Bip Series
amazfit-bip-s,Merge,Amazfit Bip S,"Enormt udvalg af urremme til Amazfit Bip S . Vi har helt sikkert en rem, som du kan bruge.",all conditions,Tag,Equals,Amazfit Bip S,"Amazfit Bip S Remme | Giga Udvalg - Fri Fragt over 199,-","Kæmpe Udvalg af Amazfit Bip S Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,Amazfit Bip Series
